method,runs,mean_fdp,sd_fdp,median_fdp,p90_fdp,max_fdp,prob_fdp_gt_q,mean_power,mean_nsel
WBH,100,0.08186550706082212,0.025200911786527242,0.0819508448540706,0.1134691475762433,0.1441048034934497,0.24,0.9753000000000001,212.63
WCS.hete,100,0.08212339912220296,0.02519347234181077,0.0819508448540706,0.1131221719457013,0.1428571428571428,0.26,0.9753000000000001,212.69
WCS.homo,100,0.08212339912220296,0.02519347234181077,0.0819508448540706,0.1131221719457013,0.1428571428571428,0.26,0.9753000000000001,212.69
WCS.dete,100,0.08187136988889764,0.025055813786983742,0.0819508448540706,0.1131221719457013,0.1428571428571428,0.24,0.9753000000000001,212.63
