seed,method,weights,fdp,power,nsel,test_positive_rate,cal_positive_rate,mean_cal_weight,max_cal_weight
1,WBH,oracle weights,0.10955056179775281,0.8386243386243386,356,0.756,0.31375,0.8629680569238812,33.955927996247794
1,WCS.hete,oracle weights,0.11428571428571428,0.082010582010582,35,0.756,0.31375,0.8629680569238812,33.955927996247794
1,WCS.homo,oracle weights,0.10743801652892562,0.8571428571428571,363,0.756,0.31375,0.8629680569238812,33.955927996247794
1,WCS.dtm,oracle weights,0.0,0.0,0,0.756,0.31375,0.8629680569238812,33.955927996247794
1,WBH,ignore shift,0.145933014354067,0.9444444444444444,418,0.756,0.31375,1.0,1.0
1,WCS.hete,ignore shift,0.145933014354067,0.9444444444444444,418,0.756,0.31375,1.0,1.0
1,WCS.homo,ignore shift,0.145933014354067,0.9444444444444444,418,0.756,0.31375,1.0,1.0
1,WCS.dtm,ignore shift,0.0,0.0,0,0.756,0.31375,1.0,1.0
1,WBH,clip weights at 3,0.09428571428571429,0.8386243386243386,350,0.756,0.31375,0.6315661573621594,3.0
1,WCS.hete,clip weights at 3,0.09428571428571429,0.8386243386243386,350,0.756,0.31375,0.6315661573621594,3.0
1,WCS.homo,clip weights at 3,0.09659090909090909,0.8412698412698413,352,0.756,0.31375,0.6315661573621594,3.0
1,WCS.dtm,clip weights at 3,0.0,0.0,0,0.756,0.31375,0.6315661573621594,3.0
2,WBH,oracle weights,0.13480392156862744,0.9121447028423773,408,0.774,0.34125,0.9922078528543251,31.801506817602043
2,WCS.hete,oracle weights,0.13624678663239073,0.8682170542635659,389,0.774,0.34125,0.9922078528543251,31.801506817602043
2,WCS.homo,oracle weights,0.13658536585365855,0.9147286821705426,410,0.774,0.34125,0.9922078528543251,31.801506817602043
2,WCS.dtm,oracle weights,0.0,0.0,0,0.774,0.34125,0.9922078528543251,31.801506817602043
2,WBH,ignore shift,0.1425233644859813,0.9483204134366925,428,0.774,0.34125,1.0,1.0
2,WCS.hete,ignore shift,0.1405152224824356,0.9483204134366925,427,0.774,0.34125,1.0,1.0
2,WCS.homo,ignore shift,0.1425233644859813,0.9483204134366925,428,0.774,0.34125,1.0,1.0
2,WCS.dtm,ignore shift,0.0,0.0,0,0.774,0.34125,1.0,1.0
2,WBH,clip weights at 3,0.12435233160621761,0.8733850129198967,386,0.774,0.34125,0.6670887433069899,3.0
2,WCS.hete,clip weights at 3,0.12661498708010335,0.8733850129198967,387,0.774,0.34125,0.6670887433069899,3.0
2,WCS.homo,clip weights at 3,0.12435233160621761,0.8733850129198967,386,0.774,0.34125,0.6670887433069899,3.0
2,WCS.dtm,clip weights at 3,0.0,0.0,0,0.774,0.34125,0.6670887433069899,3.0
3,WBH,oracle weights,0.11330049261083744,0.8977556109725686,406,0.802,0.37125,1.0217883658719824,47.4415902286337
3,WCS.hete,oracle weights,0.12082262210796915,0.8528678304239401,389,0.802,0.37125,1.0217883658719824,47.4415902286337
3,WCS.homo,oracle weights,0.11352657004830918,0.9152119700748129,414,0.802,0.37125,1.0217883658719824,47.4415902286337
3,WCS.dtm,oracle weights,0.0,0.0,0,0.802,0.37125,1.0217883658719824,47.4415902286337
3,WBH,ignore shift,0.13043478260869565,0.9476309226932669,437,0.802,0.37125,1.0,1.0
3,WCS.hete,ignore shift,0.13043478260869565,0.9476309226932669,437,0.802,0.37125,1.0,1.0
3,WCS.homo,ignore shift,0.12984054669703873,0.9526184538653366,439,0.802,0.37125,1.0,1.0
3,WCS.dtm,ignore shift,0.0,0.0,0,0.802,0.37125,1.0,1.0
3,WBH,clip weights at 3,0.08042895442359249,0.8553615960099751,373,0.802,0.37125,0.7248239081956964,3.0
3,WCS.hete,clip weights at 3,0.08266666666666667,0.85785536159601,375,0.802,0.37125,0.7248239081956964,3.0
3,WCS.homo,clip weights at 3,0.08021390374331551,0.85785536159601,374,0.802,0.37125,0.7248239081956964,3.0
3,WCS.dtm,clip weights at 3,0.0,0.0,0,0.802,0.37125,0.7248239081956964,3.0
4,WBH,oracle weights,0.09315068493150686,0.8401015228426396,365,0.788,0.35625,0.9444358452864691,21.791018986304373
4,WCS.hete,oracle weights,0.09392265193370165,0.8324873096446701,362,0.788,0.35625,0.9444358452864691,21.791018986304373
4,WCS.homo,oracle weights,0.09510869565217392,0.8451776649746193,368,0.788,0.35625,0.9444358452864691,21.791018986304373
4,WCS.dtm,oracle weights,0.0,0.0,0,0.788,0.35625,0.9444358452864691,21.791018986304373
4,WBH,ignore shift,0.13012048192771083,0.916243654822335,415,0.788,0.35625,1.0,1.0
4,WCS.hete,ignore shift,0.13012048192771083,0.916243654822335,415,0.788,0.35625,1.0,1.0
4,WCS.homo,ignore shift,0.13012048192771083,0.916243654822335,415,0.788,0.35625,1.0,1.0
4,WCS.dtm,ignore shift,0.0,0.0,0,0.788,0.35625,1.0,1.0
4,WBH,clip weights at 3,0.06134969325153374,0.7766497461928934,326,0.788,0.35625,0.7143437074213902,3.0
4,WCS.hete,clip weights at 3,0.06134969325153374,0.7766497461928934,326,0.788,0.35625,0.7143437074213902,3.0
4,WCS.homo,clip weights at 3,0.06134969325153374,0.7766497461928934,326,0.788,0.35625,0.7143437074213902,3.0
4,WCS.dtm,clip weights at 3,0.0,0.0,0,0.788,0.35625,0.7143437074213902,3.0
5,WBH,oracle weights,0.0982367758186398,0.8927680798004988,397,0.802,0.36,0.9216893306610804,34.56596084891185
5,WCS.hete,oracle weights,0.09539473684210527,0.685785536159601,304,0.802,0.36,0.9216893306610804,34.56596084891185
5,WCS.homo,oracle weights,0.09798994974874371,0.8952618453865336,398,0.802,0.36,0.9216893306610804,34.56596084891185
5,WCS.dtm,oracle weights,0.0,0.0,0,0.802,0.36,0.9216893306610804,34.56596084891185
5,WBH,ignore shift,0.11791383219954649,0.970074812967581,441,0.802,0.36,1.0,1.0
