Score,Method,Weighted,FDP,Power,Nsel,seed,q,shift_type,shift_feature,c_thresh
regression,wBH,Yes,0.6274509803921569,0.07818930041152264,51,13,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.430699999999999
regression,wCS.hete,Yes,0.0,0.20987654320987653,51,13,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.430699999999999
regression,wCS.homo,Yes,0.0,0.20987654320987653,51,13,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.430699999999999
regression,wCS.dtm,Yes,0.0,0.20987654320987653,51,13,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.430699999999999
regression,uBH,No,0.0,0.18518518518518517,45,13,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.430699999999999
regression,uCS.hete,No,0.0,0.18930041152263374,46,13,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.430699999999999
regression,uCS.homo,No,0.0,0.18930041152263374,46,13,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.430699999999999
regression,uCS.dtm,No,0.0,0.18518518518518517,45,13,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.430699999999999
