Score,Method,Weighted,FDP,Power,Nsel,seed,q,shift_type,shift_feature,c_thresh
regression,wBH,Yes,0.6,0.016877637130801686,10,10,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.2419
regression,wCS.hete,Yes,0.0,0.04219409282700422,10,10,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.2419
regression,wCS.homo,Yes,0.0,0.04219409282700422,10,10,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.2419
regression,wCS.dtm,Yes,0.0,0.04219409282700422,10,10,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.2419
regression,uBH,No,0.0,0.0,0,10,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.2419
regression,uCS.hete,No,0.0,0.0,0,10,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.2419
regression,uCS.homo,No,0.0,0.0,0,10,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.2419
regression,uCS.dtm,No,0.0,0.0,0,10,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.2419
