Score,Method,Weighted,FDP,Power,Nsel,seed,q,shift_type,shift_feature,c_thresh
regression,wBH,Yes,0.8181818181818182,0.008403361344537815,11,1,0.2,1,MedInc+AveBedrms+HouseAge+Population,2.22
regression,wCS.hete,Yes,0.09090909090909091,0.04201680672268908,11,1,0.2,1,MedInc+AveBedrms+HouseAge+Population,2.22
regression,wCS.homo,Yes,0.09090909090909091,0.04201680672268908,11,1,0.2,1,MedInc+AveBedrms+HouseAge+Population,2.22
regression,wCS.dtm,Yes,0.09090909090909091,0.04201680672268908,11,1,0.2,1,MedInc+AveBedrms+HouseAge+Population,2.22
regression,uBH,No,0.0,0.0,0,1,0.2,1,MedInc+AveBedrms+HouseAge+Population,2.22
regression,uCS.hete,No,0.0,0.0,0,1,0.2,1,MedInc+AveBedrms+HouseAge+Population,2.22
regression,uCS.homo,No,0.0,0.0,0,1,0.2,1,MedInc+AveBedrms+HouseAge+Population,2.22
regression,uCS.dtm,No,0.0,0.0,0,1,0.2,1,MedInc+AveBedrms+HouseAge+Population,2.22
