Score,Method,Weighted,q,n_runs,fdp_mean,fdp_sd,power_mean,power_sd,nsel_mean,nsel_sd
regression,uBH,No,0.1,20,0.00624036979969183,0.021318034856600856,0.09538453192528594,0.0727008372036642,22.85,17.676255259528247
regression,uBH,No,0.2,20,0.013535517477123676,0.013651417531118142,0.23330657442440356,0.0539704524211748,56.5,14.518590623204805
regression,uCS.dtm,No,0.1,20,0.00624036979969183,0.021318034856600856,0.09309494553322228,0.06964274798314621,22.3,16.942938289881624
regression,uCS.dtm,No,0.2,20,0.013535517477123676,0.013651417531118142,0.23330657442440356,0.0539704524211748,56.5,14.518590623204805
regression,uCS.hete,No,0.1,20,0.00624036979969183,0.021318034856600856,0.0937009373828816,0.07013224061644725,22.45,17.067898461578004
regression,uCS.hete,No,0.2,20,0.013535517477123676,0.013651417531118142,0.23330657442440356,0.0539704524211748,56.5,14.518590623204805
regression,uCS.homo,No,0.1,20,0.00624036979969183,0.021318034856600856,0.0937009373828816,0.07013224061644725,22.45,17.067898461578004
regression,uCS.homo,No,0.2,20,0.013535517477123676,0.013651417531118142,0.23330657442440356,0.0539704524211748,56.5,14.518590623204805
regression,wBH,Yes,0.1,20,0.678045027317228,0.04954631759585395,0.05535878856012309,0.018325047731511935,40.5,11.473080621496932
regression,wBH,Yes,0.2,20,0.6773471400000053,0.03909199704983021,0.08960538380793526,0.022936078272284825,65.75,14.134224980149206
regression,wCS.dtm,Yes,0.1,20,0.0070475694815131055,0.015686310769025477,0.16614666880745202,0.04453477749718747,39.9,11.465738436521953
regression,wCS.dtm,Yes,0.2,20,0.013098909287339904,0.013163800515756243,0.2712212618647244,0.05040890840369245,65.7,14.308996066148477
regression,wCS.hete,Yes,0.1,20,0.007032958143114505,0.015676448785169782,0.1680276421178715,0.04391448315060318,40.35,11.328933614515767
regression,wCS.hete,Yes,0.2,20,0.013098909287339904,0.013163800515756243,0.2720694761504387,0.05005046382265731,65.9,14.219704638282753
regression,wCS.homo,Yes,0.1,20,0.007032958143114505,0.015676448785169782,0.1680276421178715,0.04391448315060318,40.35,11.328933614515767
regression,wCS.homo,Yes,0.2,20,0.013098909287339904,0.013163800515756243,0.2720694761504387,0.05005046382265731,65.9,14.219704638282753
