Score,Method,Weighted,q,n_runs,fdp_mean,fdp_sd,power_mean,power_sd,nsel_mean,nsel_sd
regression,uBH,No,0.1,20,0.0,0.0,0.0,0.0,0.0,0.0
regression,uBH,No,0.2,20,0.005119047619047615,0.016536819649058926,0.054365256074706346,0.05845912964036257,13.4,14.481930665124512
regression,uCS.dtm,No,0.1,20,0.0,0.0,0.0,0.0,0.0,0.0
regression,uCS.dtm,No,0.2,20,0.005119047619047615,0.016536819649058926,0.054365256074706346,0.05845912964036257,13.4,14.481930665124512
regression,uCS.hete,No,0.1,20,0.0,0.0,0.0,0.0,0.0,0.0
regression,uCS.hete,No,0.2,20,0.005119047619047615,0.016536819649058926,0.054365256074706346,0.05845912964036257,13.4,14.481930665124512
regression,uCS.homo,No,0.1,20,0.0,0.0,0.0,0.0,0.0,0.0
regression,uCS.homo,No,0.2,20,0.005119047619047615,0.016536819649058926,0.054365256074706346,0.05845912964036257,13.4,14.481930665124512
regression,wBH,Yes,0.1,20,0.5841197452269566,0.2649938332669972,0.024185162780009484,0.019690017495266963,17.9,12.842773925646403
regression,wBH,Yes,0.2,20,0.7033568983562409,0.07526182474443345,0.04928380422232125,0.021836752675906023,39.3,12.174606877906939
regression,wCS.dtm,Yes,0.1,20,0.017619047619047614,0.05712927992419369,0.066051113724873,0.054878855496731896,16.15,13.511301312527035
regression,wCS.dtm,Yes,0.2,20,0.01953603203966574,0.024344070249912926,0.15921064627353235,0.0486052347738103,39.25,12.156328219880939
regression,wCS.hete,Yes,0.1,20,0.017619047619047614,0.05712927992419369,0.06646988150069265,0.05481749005275231,16.25,13.494150779621439
regression,wCS.hete,Yes,0.2,20,0.01953603203966574,0.024344070249912926,0.15943386055924663,0.04851476624822634,39.3,12.122619136838463
regression,wCS.homo,Yes,0.1,20,0.017619047619047614,0.05712927992419369,0.06669026673084587,0.05435606675704957,16.3,13.381448273439496
regression,wCS.homo,Yes,0.2,20,0.01953603203966574,0.024344070249912926,0.15943386055924663,0.04851476624822634,39.3,12.122619136838463
