Score,Method,Weighted,FDP,Power,Nsel,seed,q,shift_type,shift_feature,c_thresh
regression,wBH,Yes,0.8571428571428571,0.004629629629629629,7,20,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.25
regression,wCS.hete,Yes,0.0,0.032407407407407406,7,20,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.25
regression,wCS.homo,Yes,0.0,0.032407407407407406,7,20,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.25
regression,wCS.dtm,Yes,0.0,0.032407407407407406,7,20,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.25
regression,uBH,No,0.0,0.0,0,20,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.25
regression,uCS.hete,No,0.0,0.0,0,20,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.25
regression,uCS.homo,No,0.0,0.0,0,20,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.25
regression,uCS.dtm,No,0.0,0.0,0,20,0.1,1,MedInc+AveBedrms+HouseAge+Population,2.25
