Score,Method,Weighted,FDP,Power,Nsel,seed,q,shift_type,shift_feature,c_thresh
regression,wBH,Yes,0.6571428571428571,0.05084745762711865,35,9,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.477
regression,wCS.hete,Yes,0.0,0.13135593220338984,31,9,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.477
regression,wCS.homo,Yes,0.0,0.13135593220338984,31,9,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.477
regression,wCS.dtm,Yes,0.0,0.11440677966101695,27,9,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.477
regression,uBH,No,0.0,0.07203389830508475,17,9,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.477
regression,uCS.hete,No,0.0,0.07203389830508475,17,9,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.477
regression,uCS.homo,No,0.0,0.07203389830508475,17,9,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.477
regression,uCS.dtm,No,0.0,0.07203389830508475,17,9,0.1,2,Latitude+Longitude+AveRooms+AveOccup,2.477
